id,year,thumbnail,image,largeImage,_label,_iiif,_Description,_Publication/creation,_Physical description,_Contributors,_Type/technique,_Subjects,_Attribution and usage,keywords,_Notes,
ce743a3523ce196c03054d3f9ab100e2,,"https://iiif.wellcomecollection.org/image/b28673979_0003.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0003.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0003.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
bb637aa3b819b9a08a05bb272919e2a5,,"https://iiif.wellcomecollection.org/image/b28673979_0004.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0004.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0004.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
35ec511f97e2d6e369c6e0c63084a461,,"https://iiif.wellcomecollection.org/image/b28673979_0005.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0005.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0005.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
91d786522fe65812bef3f6a68b0ff069,,"https://iiif.wellcomecollection.org/image/b28673979_0006.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0006.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0006.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
69cc39f75f3b9bf3fe3912fdb238351b,,"https://iiif.wellcomecollection.org/image/b28673979_0007.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0007.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0007.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
ebf237e122dd36e4cf2e83aa4ae23e51,,"https://iiif.wellcomecollection.org/image/b28673979_0008.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0008.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0008.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
0a31a3a2db774c200ce3e1eaa391af78,,"https://iiif.wellcomecollection.org/image/b28673979_0009.jp2/full/122,127/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0009.jp2/full/983,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0009.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
2708fd4b559cf531c9291dbd5514f6de,,"https://iiif.wellcomecollection.org/image/b28673979_0010.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0010.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0010.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
c43cad5448fe4267917324ea217651fa,,"https://iiif.wellcomecollection.org/image/b28673979_0011.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0011.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0011.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
073480f58b6bfe261497ec39bb32f45a,,"https://iiif.wellcomecollection.org/image/b28673979_0012.jp2/full/122,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673979_0012.jp2/full/979,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673979_0012.jp2/full/full/0/default.jpg,Pocket guide to healthy sex : for men who have sex with men / produced by the Lothian Gay Men's Health Group ... illustrations reproduced by kind permission of Deutsche AIDS-Hilfe.,https://iiif.wellcomecollection.org/presentation/b28673979,<p>Sticker promoting condom use (and safe sex).</p>,[between 1988 and 1997],1 folded sheet (12 unnumbered pages) : colour , 21 x 30 cm folded to 11 x 10 cm,Lothian Gay Men's Health Group,Ephemera,Gay men - Sexual behavior,Wellcome Collection,"Health Group,Sticker promoting condom,Deutsche AIDS,Lothian Gay Men","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
b81ae263722ac84804fce2baedab51e0,,"https://iiif.wellcomecollection.org/image/b28490800_0001.jp2/full/88,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490800_0001.jp2/full/705,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490800_0001.jp2/full/full/0/default.jpg,[Fund-raising sticker for Padova's Comitato Preparazione Civile].,https://iiif.wellcomecollection.org/presentation/b28490800,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"Comitato Preparazione,World War,Fund,Collection",,
689b00c809c061492ec539c4769fa713,,"https://iiif.wellcomecollection.org/image/b2867439x_0001.jp2/full/127,127/0/default.jpg","https://iiif.wellcomecollection.org/image/b2867439x_0001.jp2/full/1025,1020/0/default.jpg",https://iiif.wellcomecollection.org/image/b2867439x_0001.jp2/full/full/0/default.jpg,It's time to Take Care / LHB.,https://iiif.wellcomecollection.org/presentation/b2867439x,<p>Sticker (magenta background) promoting the Edinburgh 'Take Care' AIDS / HIV prevention campaign.</p>,[between 1990 and 1995?],1 sheet , 10 x 10 cm,Lothian Health Board,Ephemera,Safe Sex,Wellcome Collection,"HIV prevention,Lothian Health Board,Sticker,AIDS","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
ea2169f77b5c945f205040987c1705d8,,"https://iiif.wellcomecollection.org/image/b20185820_0001.jp2/full/128,98/0/default.jpg","https://iiif.wellcomecollection.org/image/b20185820_0001.jp2/full/1025,787/0/default.jpg",https://iiif.wellcomecollection.org/image/b20185820_0001.jp2/full/full/0/default.jpg,"British Red Cross Society : 1D :  [Britannia supporting a wounded soldier lying on the battlefield, a horse-drawn ambulance approaches].",https://iiif.wellcomecollection.org/presentation/b20185820,<p>A gummed stamp or seal that was sold to raise funds for the British Red Cross at the start of the first world war. This one is printed in green on white paper with a cross and the price (one penny) in red.</p>,"[Place of publication not identified] : [publisher not identified], [between 1910 and 1919?]",1 broadside : illustrations , 4 x 6 cm,,Ephemera,"World War, 1914-1918",Wellcome Collection,"Red Cross Society,British Red Cross,world war,Society",
d2911986b069d583697582da0478541c,,"https://iiif.wellcomecollection.org/image/b28673761_0001.jp2/full/81,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673761_0001.jp2/full/650,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673761_0001.jp2/full/full/0/default.jpg,"HIV/AIDS : ""a ready guide"" to services and facilities currently available in Lothian : for your free leaflet phone 031-553 8396.",https://iiif.wellcomecollection.org/presentation/b28673761,<p>Small sticker advertising a leaflet giving information about AIDS / HIV support services in the Lothian area of Scotland.</p>,[1989?],1 sheet : colour , 9 x 5 cm,,Ephemera,Acquired Immunodeficiency Syndrome,Wellcome Collection,"HIV support services,Copy,Small sticker,Acquired Immunodeficiency Syndrome","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
f940a99654481e303c1135ca9daf21e2,,"https://iiif.wellcomecollection.org/image/b2849104x_0001.jp2/full/91,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b2849104x_0001.jp2/full/734,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b2849104x_0001.jp2/full/full/0/default.jpg,[Stamp-like sticker sold to raise funds for the French Red Cross. Bearing a portrait of: Vc. Al. Boué de Lapeyère].,https://iiif.wellcomecollection.org/presentation/b2849104x,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"French Red Cross,Stamp,Collection,Cross",,
ce1db0468289db43daff0f1586fea0d2,,"https://iiif.wellcomecollection.org/image/b30018687_0001.jp2/full/128,110/0/default.jpg","https://iiif.wellcomecollection.org/image/b30018687_0001.jp2/full/1025,886/0/default.jpg",https://iiif.wellcomecollection.org/image/b30018687_0001.jp2/full/full/0/default.jpg,[Fund-raising sticker for the Evening News Red Cross Fund].,https://iiif.wellcomecollection.org/presentation/b30018687,,[Between 1914 and 1918?],,,Ephemera,Red Cross and Red Crescent,Wellcome Collection,"News Red Cross,Evening News Red,Wellcome Collection,Red Crescent",,
9e3b8780e7a495ec2d25cf304d6df820,,"https://iiif.wellcomecollection.org/image/b28674285_0001.jp2/full/87,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28674285_0001.jp2/full/703,1025/0/default.jpg","https://iiif.wellcomecollection.org/image/b28674285_0001.jp2/full/2813,4096/0/default.jpg",Take Care of the one you love.,https://iiif.wellcomecollection.org/presentation/b28674285,<p>Sheet of 6 stickers promoting the Take Care campaign run by the Lothian Health Board Health Promotion Department.</p>,[between 1990 and 1995?],1 sheet , 20 x 13 cm,Take Care (Health Campaign),Ephemera,Acquired Immunodeficiency Syndrome - prevention & control,Wellcome Collection,"Board Health Promotion,Acquired Immunodeficiency Syndrome,Care,Wellcome Collection","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
5320b3604f11c5f76bc7fde1f79197f5,,"https://iiif.wellcomecollection.org/image/b28674418_0001.jp2/full/99,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28674418_0001.jp2/full/793,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28674418_0001.jp2/full/full/0/default.jpg,"Privilege Pass : Live at the Amphitheatre : Saturday 12 noon-2pm : over 18's only / Take Care,  Radio Forth FM 97.3.",https://iiif.wellcomecollection.org/presentation/b28674418,<p>Single silk sticker pass for the Live at the Amphitheatre event in Edinburgh (1992?) apparently promoting the Edinburgh 'Take Care' AIDS / HIV prevention campaign in conjunction with Radio Forth.</p>,[1992?],1 sheet , 11 x 8 cm,Lothian Health Board,Ephemera,Concerts,Wellcome Collection,"Radio Forth FM,Lothian Health Board,Single silk sticker,HIV prevention campaign","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
93db8db12404f5c2f79d39f3e4610cc2,,"https://iiif.wellcomecollection.org/image/b28674418_0002.jp2/full/98,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28674418_0002.jp2/full/792,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28674418_0002.jp2/full/full/0/default.jpg,"Privilege Pass : Live at the Amphitheatre : Saturday 12 noon-2pm : over 18's only / Take Care,  Radio Forth FM 97.3.",https://iiif.wellcomecollection.org/presentation/b28674418,<p>Single silk sticker pass for the Live at the Amphitheatre event in Edinburgh (1992?) apparently promoting the Edinburgh 'Take Care' AIDS / HIV prevention campaign in conjunction with Radio Forth.</p>,[1992?],1 sheet , 11 x 8 cm,Lothian Health Board,Ephemera,Concerts,Wellcome Collection,"Radio Forth FM,Lothian Health Board,Single silk sticker,HIV prevention campaign","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
76644520864afd672b0b362a715f1e60,,"https://iiif.wellcomecollection.org/image/b28490782_0001.jp2/full/127,90/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490782_0001.jp2/full/1025,724/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490782_0001.jp2/full/full/0/default.jpg,"[Small fund-raising sticker for the Scuola Tornitori (Florence, Italy)].",https://iiif.wellcomecollection.org/presentation/b28490782,,[1915?],,,Ephemera,Veterans,Wellcome Collection,"Wellcome Collection,Florence,Veterans,presentation",,
bcb54bc699c913924d6dc3e37bb96a8b,,"https://iiif.wellcomecollection.org/image/b28490824_0001.jp2/full/86,127/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490824_0001.jp2/full/692,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490824_0001.jp2/full/full/0/default.jpg,[Fund-raising sticker].,https://iiif.wellcomecollection.org/presentation/b28490824,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"World War,Fund,Collection,raising",,
ac25b4eb0ce85539128a7ef561b7247b,,"https://iiif.wellcomecollection.org/image/b28663159_0001.jp2/full/128,127/0/default.jpg","https://iiif.wellcomecollection.org/image/b28663159_0001.jp2/full/1025,1024/0/default.jpg",https://iiif.wellcomecollection.org/image/b28663159_0001.jp2/full/full/0/default.jpg,5 hot rules / Buro GVO.,https://iiif.wellcomecollection.org/presentation/b28663159,<p>Sticker giving information about ways to prevent HIV infection.</p>,[approximately 1990?],1 sheet , 13 x 13 cm,Buro GVO,Ephemera,Dildos,Wellcome Collection,"Wellcome Collection,Buro GVO,Sticker giving information,hot rules",
7e306b567c19a2fee63a5a88d361a316,,"https://iiif.wellcomecollection.org/image/b20161177_0001.jp2/full/95,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b20161177_0001.jp2/full/762,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b20161177_0001.jp2/full/full/0/default.jpg,British Red Cross Society 1914 : [two men attend a wounded soldier behind a cannon].,https://iiif.wellcomecollection.org/presentation/b20161177,<p>One of a series of gummed stamps or seals that were sold to raise funds for the British Red Cross at the start of the first world war.</p>,"[Place of publication not identified] : [publisher not identified], 1914.",1 broadside : color illustrations , 6 cm,,Ephemera,"World War, 1914-1918",Wellcome Collection,"British Red Cross,Red Cross Society,Red,Cross",
4b1d49986ed2980aa99183f0fc52d506,,"https://iiif.wellcomecollection.org/image/b28490794_0001.jp2/full/83,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490794_0001.jp2/full/668,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490794_0001.jp2/full/full/0/default.jpg,[Small fund-raising sticker for the families of soldiers issued by the Municipio de Genova].,https://iiif.wellcomecollection.org/presentation/b28490794,,[Between 1914 and 1918?],,,Ephemera,Families of military personnel,Wellcome Collection,"Wellcome Collection,Small fund,Municipio de,presentation",,
dce7c4d58378f5009ad5b5c3385df26d,,"https://iiif.wellcomecollection.org/image/b28490885_0001.jp2/full/128,84/0/default.jpg","https://iiif.wellcomecollection.org/image/b28490885_0001.jp2/full/1025,680/0/default.jpg",https://iiif.wellcomecollection.org/image/b28490885_0001.jp2/full/full/0/default.jpg,"[French charity stamp incorporating the French tricolore flag, Red Cross in a circular wreath and other devices].",https://iiif.wellcomecollection.org/presentation/b28490885,,[Between 1914 and 1918?],,,Ephemera,"World War, 1914-1918",Wellcome Collection,"World War,Red Cross,Collection,French tricolore flag",,
2b598003554ab79cc7299cf7a9bc6897,,"https://iiif.wellcomecollection.org/image/b28673931_0001.jp2/full/103,128/0/default.jpg","https://iiif.wellcomecollection.org/image/b28673931_0001.jp2/full/825,1025/0/default.jpg",https://iiif.wellcomecollection.org/image/b28673931_0001.jp2/full/full/0/default.jpg,Women and HIV/AIDS Network.,https://iiif.wellcomecollection.org/presentation/b28673931,"<p>Small, green sticker advertising the Women and HIV/AIDS Network.</p>",[between 1988 and 1997],1 sheet , 9 x 7 cm,Women and HIV/AIDS Network,Ephemera,Women,Wellcome Collection,"AIDS Network,AIDS,HIV,Women and HIV","Copy 1. Acquired from Lothian Health Services Archive, February 2001."
a30e9e40f062b58d77c209ca52d6044f,,"https://iiif.wellcomecollection.org/image/b28491178_0001.jp2/full/128,101/0/default.jpg","https://iiif.wellcomecollection.org/image/b28491178_0001.jp2/full/1025,816/0/default.jpg",https://iiif.wellcomecollection.org/image/b28491178_0001.jp2/full/full/0/default.jpg,"[2 fund raising stamps / stickers? issued by the Polish post office in 1946 to raise funds to ""save children"". The Hellbrun refugee (DP) camp is named].",https://iiif.wellcomecollection.org/presentation/b28491178,,1946,,,Ephemera,Red Cross and Red Crescent,Wellcome Collection,"fund raising stamps,stickers,Wellcome Collection,presentation",,
9d2a767482101439655a04e0f2e22b6c,,"https://iiif.wellcomecollection.org/image/b28491178_0002.jp2/full/128,101/0/default.jpg","https://iiif.wellcomecollection.org/image/b28491178_0002.jp2/full/1025,815/0/default.jpg",https://iiif.wellcomecollection.org/image/b28491178_0002.jp2/full/full/0/default.jpg,"[2 fund raising stamps / stickers? issued by the Polish post office in 1946 to raise funds to ""save children"". The Hellbrun refugee (DP) camp is named].",https://iiif.wellcomecollection.org/presentation/b28491178,,1946,,,Ephemera,Red Cross and Red Crescent,Wellcome Collection,"fund raising stamps,stickers,Wellcome Collection,presentation",,
